---
a=100 e=0.90 i=90 Ω=0 ϖ=0
L0,10.00,0.00,0.00
L17,5.92,0.00,12.32
L34,-7.35,0.00,24.54
L51,-28.29,0.00,34.30
L68,-51.19,0.00,40.17
L85,-81.14,0.00,43.42
L102,-112.03,0.00,42.52
L119,-137.18,0.00,38.43
L136,-161.42,0.00,30.51
L153,-179.44,0.00,19.49
L170,-188.72,0.00,6.94
L187,-189.40,-0.00,-4.77
L204,-181.29,-0.00,-17.80
L221,-164.50,-0.00,-29.08
L238,-144.31,-0.00,-36.60
L255,-116.30,-0.00,-42.05
L272,-85.47,-0.00,-43.54
L289,-57.80,-0.00,-41.27
L306,-32.03,-0.00,-35.52
L323,-9.85,-0.00,-26.07
L340,4.49,-0.00,-14.26
L357,9.78,-0.00,-2.91
a=100 e=0.90 i=90 Ω=22 ϖ=0
L0,8.54,3.54,-3.83
L17,9.41,3.90,9.11
L34,2.40,0.99,25.49
L51,-12.02,-4.98,42.52
L68,-29.49,-12.22,56.70
L85,-53.91,-22.33,71.16
L102,-80.59,-33.38,82.15
L119,-103.50,-42.87,88.00
L136,-126.99,-52.60,89.96
L153,-146.27,-60.59,86.68
L170,-158.63,-65.71,78.63
L187,-163.35,-67.66,68.07
L204,-161.03,-66.70,52.93
L221,-150.69,-62.42,36.09
L238,-136.12,-56.38,21.41
L255,-114.14,-47.28,5.65
L272,-88.35,-36.60,-7.52
L289,-63.93,-26.48,-16.01
L306,-39.90,-16.53,-20.56
L323,-17.62,-7.30,-20.31
L340,-1.21,-0.50,-14.90
L357,7.32,3.03,-6.43
a=100 e=0.90 i=90 Ω=45 ϖ=0
L0,5.00,5.00,-7.07
L17,9.12,9.12,4.52
L34,8.59,8.59,22.55
L51,3.00,3.00,44.26
L68,-5.51,-5.51,64.60
L85,-18.86,-18.86,88.07
L102,-34.76,-34.76,109.28
L119,-49.37,-49.37,124.18
L136,-65.45,-65.45,135.71
L153,-79.97,-79.97,140.67
L170,-90.89,-90.89,138.36
L187,-97.08,-97.08,130.55
L204,-99.54,-99.54,115.60
L221,-96.79,-96.79,95.76
L238,-90.46,-90.46,76.16
L255,-79.18,-79.18,52.50
L272,-64.51,-64.51,29.65
L289,-49.53,-49.53,11.69
L306,-33.78,-33.78,-2.46
L323,-17.96,-17.96,-11.47
L340,-4.88,-4.88,-13.26
L357,3.43,3.43,-8.97
a=100 e=0.90 i=90 Ω=68 ϖ=0
L0,1.46,3.54,-9.24
L17,5.22,12.61,-0.76
L34,7.60,18.35,16.18
L51,7.98,19.27,39.27
L68,6.71,16.19,62.67
L85,3.47,8.37,91.58
L102,-1.37,-3.32,119.78
L119,-6.50,-15.70,141.45
L136,-12.85,-31.03,160.81
L153,-19.39,-46.80,173.24
L170,-25.18,-60.80,177.01
L187,-29.42,-71.03,173.16
L204,-32.84,-79.28,160.68
L221,-34.37,-82.98,140.85
L238,-34.07,-82.26,119.32
L255,-31.90,-77.01,91.36
L272,-27.91,-67.39,62.30
L289,-23.06,-55.66,37.61
L306,-17.25,-41.64,16.00
L323,-10.66,-25.73,-0.88
L340,-4.38,-10.59,-9.61
L357,0.40,0.97,-10.15
a=100 e=0.90 i=90 Ω=80 ϖ=0
L0,0.30,1.71,-9.85
L17,2.29,12.96,-3.69
L34,3.97,22.54,11.50
L51,5.01,28.43,33.82
L68,5.33,30.21,57.39
L85,4.98,28.23,87.44
L102,3.89,22.08,117.71
L119,2.44,13.81,141.77
L136,0.35,1.99,164.26
L153,-2.08,-11.78,180.10
L170,-4.50,-25.54,187.06
L187,-6.53,-37.01,185.69
L204,-8.51,-48.26,175.44
L221,-9.93,-56.33,156.95
L238,-10.61,-60.17,135.76
L255,-10.70,-60.67,107.23
L272,-10.02,-56.85,76.61
L289,-8.80,-49.91,49.76
L306,-7.04,-39.93,25.38
L323,-4.75,-26.96,5.17
L340,-2.30,-13.06,-6.90
L357,-0.20,-1.15,-10.13
a=100 e=0.90 i=90 Ω=84 ϖ=0
L0,0.11,1.04,-9.95
L17,1.35,12.80,-4.60
L34,2.47,23.51,9.88
L51,3.26,30.98,31.72
L68,3.62,34.41,55.11
L85,3.63,34.51,85.23
L102,3.20,30.41,115.86
L119,2.50,23.75,140.45
L136,1.41,13.40,163.72
L153,0.07,0.63,180.50
L170,-1.34,-12.75,188.41
L187,-2.57,-24.41,187.86
L204,-3.83,-36.45,178.43
L221,-4.82,-45.86,160.56
L238,-5.38,-51.20,139.70
L255,-5.64,-53.68,111.27
L272,-5.46,-51.95,80.45
L289,-4.92,-46.83,53.17
L306,-4.04,-38.46,28.15
L323,-2.82,-26.80,7.07
L340,-1.43,-13.64,-5.96
L357,-0.20,-1.86,-10.03
a=100 e=0.90 i=90 Ω=88 ϖ=0
L0,0.01,0.35,-9.99
L17,0.44,12.51,-5.49
L34,0.85,24.25,8.20
L51,1.16,33.27,29.47
L68,1.34,38.34,52.56
L85,1.42,40.53,82.60
L102,1.35,38.56,113.45
L119,1.17,33.60,138.44
L136,0.87,24.84,162.39
L153,0.46,13.21,180.01
L170,0.01,0.35,188.85
L187,-0.40,-11.37,189.12
L204,-0.84,-24.10,180.55
L221,-1.21,-34.78,163.38
L238,-1.45,-41.59,142.95
L255,-1.61,-46.06,114.76
L272,-1.62,-46.47,83.90
L289,-1.51,-43.23,56.33
L306,-1.28,-36.59,30.78
L323,-0.92,-26.38,8.93
L340,-0.49,-14.09,-4.99
L357,-0.09,-2.57,-9.87
