# a=100
# e=0.70
# i=45
# Ω=0
# ϖ=0,10, ... 80, 90

a=100 e=0.70 i=45 Ω=0 ϖ=0
L0,30.00,0.00,0.00
L7,22.67,18.97,18.97
L14,7.14,32.14,32.14
L21,-9.89,40.36,40.36
L28,-26.27,45.41,45.41
L35,-41.51,48.40,48.40
L42,-55.54,49.97,49.97
L49,-68.43,50.49,50.49
L56,-80.27,50.23,50.23
L63,-91.13,49.36,49.36
L70,-101.10,47.99,47.99
L77,-110.22,46.23,46.23
L84,-118.57,44.14,44.14
L91,-126.18,41.78,41.78
L98,-133.09,39.18,39.18
L105,-139.34,36.39,36.39
L112,-144.95,33.43,33.43
L119,-149.95,30.33,30.33
L126,-154.37,27.11,27.11
L133,-158.21,23.79,23.79
L140,-161.49,20.39,20.39
L147,-164.22,16.91,16.91
L154,-166.42,13.38,13.38
L161,-168.09,9.81,9.81
L168,-169.24,6.21,6.21
L175,-169.87,2.59,2.59
L182,-169.98,-1.04,-1.04
L189,-169.57,-4.66,-4.66
L196,-168.65,-8.27,-8.27
L203,-167.20,-11.86,-11.86
L210,-165.23,-15.41,-15.41
L217,-162.73,-18.90,-18.90
L224,-159.68,-22.34,-22.34
L231,-156.08,-25.70,-25.70
L238,-151.92,-28.96,-28.96
L245,-147.17,-32.12,-32.12
L252,-141.82,-35.14,-35.14
L259,-135.85,-38.00,-38.00
L266,-129.22,-40.69,-40.69
L273,-121.92,-43.16,-43.16
L280,-113.89,-45.37,-45.37
L287,-105.11,-47.28,-47.28
L294,-95.51,-48.83,-48.83
L301,-85.04,-49.92,-49.92
L308,-73.63,-50.46,-50.46
L315,-61.20,-50.30,-50.30
L322,-47.66,-49.22,-49.22
L329,-32.95,-46.90,-46.90
L336,-17.04,-42.83,-42.83
L343,-0.17,-36.15,-36.15
L350,16.48,-25.35,-25.35
L357,28.52,-8.67,-8.67
a=100 e=0.70 i=45 Ω=0 ϖ=22
L0,10.09,-42.14,-42.14
L7,21.76,-30.69,-30.69
L14,30.28,-15.28,-15.28
L21,29.74,3.96,3.96
L28,15.05,21.01,21.01
L35,-6.22,30.44,30.44
L42,-26.85,34.25,34.25
L49,-45.21,34.96,34.96
L56,-61.35,33.88,33.88
L63,-75.54,31.70,31.70
L70,-88.06,28.82,28.82
L77,-99.14,25.45,25.45
L84,-108.96,21.76,21.76
L91,-117.65,17.84,17.84
L98,-125.33,13.77,13.77
L105,-132.10,9.60,9.60
L112,-138.02,5.36,5.36
L119,-143.16,1.10,1.10
L126,-147.57,-3.17,-3.17
L133,-151.30,-7.43,-7.43
L140,-154.38,-11.66,-11.66
L147,-156.84,-15.84,-15.84
L154,-158.71,-19.96,-19.96
L161,-160.02,-24.01,-24.01
L168,-160.78,-27.98,-27.98
L175,-161.02,-31.85,-31.85
L182,-160.73,-35.62,-35.62
L189,-159.95,-39.29,-39.29
L196,-158.68,-42.83,-42.83
L203,-156.92,-46.24,-46.24
L210,-154.68,-49.51,-49.51
L217,-151.97,-52.63,-52.63
