---
a=100 e=0.90 i=45 Ω=0 ϖ=0
L0,10.00,0.00,0.00
L7,9.05,4.24,4.24
L14,6.71,7.84,7.84
L21,3.07,11.28,11.28
L28,-1.81,14.53,14.53
L35,-7.88,17.59,17.59
L42,-15.07,20.41,20.41
L49,-23.35,22.98,22.98
L56,-32.80,25.28,25.28
L63,-45.64,27.62,27.62
L70,-57.25,29.12,29.12
L77,-68.66,30.11,30.11
L84,-80.21,30.67,30.67
L91,-91.83,30.82,30.82
L98,-103.42,30.54,30.54
L105,-114.87,29.85,29.85
L112,-126.10,28.74,28.74
L119,-137.18,27.18,27.18
L126,-149.94,24.67,24.67
L133,-159.28,22.23,22.23
L140,-167.29,19.56,19.56
L147,-174.16,16.65,16.65
L154,-179.86,13.53,13.53
L161,-184.34,10.22,10.22
L168,-187.57,6.76,6.76
L175,-189.47,3.16,3.16
L182,-189.97,-0.69,-0.69
L189,-188.51,-5.29,-5.29
L196,-185.73,-8.91,-8.91
L203,-181.67,-12.31,-12.31
L210,-176.40,-15.52,-15.52
L217,-169.98,-18.50,-18.50
L224,-162.46,-21.24,-21.24
L231,-153.91,-23.71,-23.71
L238,-144.31,-25.88,-25.88
L245,-132.77,-27.86,-27.86
L252,-119.40,-29.46,-29.46
L259,-107.78,-30.33,-30.33
L266,-96.14,-30.76,-30.76
L273,-84.50,-30.78,-30.78
L280,-72.96,-30.37,-30.37
L287,-61.62,-29.55,-29.55
L294,-50.58,-28.33,-28.33
L301,-39.84,-26.66,-26.66
L308,-27.63,-24.09,-24.09
L315,-18.20,-21.45,-21.45
L322,-10.46,-18.68,-18.68
L329,-3.92,-15.69,-15.69
L336,1.41,-12.50,-12.50
L343,5.49,-9.15,-9.15
L350,8.30,-5.66,-5.66
L357,9.78,-2.06,-2.06
a=100 e=0.90 i=45 Ω=10 ϖ=0
L0,9.91,0.50,-1.23
L7,9.27,4.74,3.06
L14,7.20,8.28,6.90
L21,3.84,11.57,10.73
L28,-0.77,14.62,14.53
L35,-6.56,17.41,18.29
L42,-13.49,19.91,21.95
L49,-21.52,22.10,25.50
L56,-30.72,23.95,28.92
L63,-43.28,25.68,32.81
L70,-54.68,26.62,35.71
