# a=100
# e=0.70
# i=90
# Ω=0,10, ... 80, 90
# ϖ=0

a=100 e=0.70 i=90 Ω=0 ϖ=0
L0,30.00,0.00,0.00
L7,22.67,0.00,26.83
L14,7.14,0.00,45.45
L21,-9.89,0.00,57.07
L28,-26.27,0.00,64.22
L35,-41.51,0.00,68.45
L42,-55.54,0.00,70.66
L49,-68.43,0.00,71.41
L56,-80.27,0.00,71.04
L63,-91.13,0.00,69.80
L70,-101.10,0.00,67.87
L77,-110.22,0.00,65.38
L84,-118.57,0.00,62.42
L91,-126.18,0.00,59.08
L98,-133.09,0.00,55.41
L105,-139.34,0.00,51.46
L112,-144.95,0.00,47.27
L119,-149.95,0.00,42.89
L126,-154.37,0.00,38.34
L133,-158.21,0.00,33.64
L140,-161.49,0.00,28.83
L147,-164.22,0.00,23.92
L154,-166.42,0.00,18.93
L161,-168.09,0.00,13.88
L168,-169.24,0.00,8.79
L175,-169.87,0.00,3.66
L182,-169.98,-0.00,-1.47
L189,-169.57,-0.00,-6.59
L196,-168.65,-0.00,-11.70
L203,-167.20,-0.00,-16.77
L210,-165.23,-0.00,-21.79
L217,-162.73,-0.00,-26.74
L224,-159.68,-0.00,-31.59
L231,-156.08,-0.00,-36.34
L238,-151.92,-0.00,-40.96
L245,-147.17,-0.00,-45.42
L252,-141.82,-0.00,-49.69
L259,-135.85,-0.00,-53.75
L266,-129.22,-0.00,-57.54
L273,-121.92,-0.00,-61.03
L280,-113.89,-0.00,-64.17
L287,-105.11,-0.00,-66.87
L294,-95.51,-0.00,-69.05
L301,-85.04,-0.00,-70.60
L308,-73.63,-0.00,-71.37
L315,-61.20,-0.00,-71.14
L322,-47.66,-0.00,-69.61
L329,-32.95,-0.00,-66.33
L336,-17.04,-0.00,-60.58
L343,-0.17,-0.00,-51.12
L350,16.48,-0.00,-35.85
L357,28.52,-0.00,-12.26
a=100 e=0.70 i=90 Ω=10 ϖ=0
L0,29.10,5.13,-5.21
L7,26.58,4.69,22.49
L14,14.69,2.59,43.52
L21,0.17,0.03,57.92
L28,-14.50,-2.56,67.81
L35,-28.55,-5.03,74.62
L42,-41.78,-7.37,79.23
L49,-54.16,-9.55,82.20
L56,-65.70,-11.58,83.90
L63,-76.45,-13.48,84.57
L70,-86.44,-15.24,84.40
L77,-95.72,-16.88,83.53
L84,-104.32,-18.39,82.07
L91,-112.27,-19.80,80.09
L98,-119.60,-21.09,77.68
L105,-126.34,-22.28,74.87
L112,-132.50,-23.36,71.73
L119,-138.10,-24.35,68.28
L126,-143.16,-25.24,64.56
L133,-147.68,-26.04,60.60
L140,-151.69,-26.75,56.43
L147,-155.18,-27.36,52.07
L154,-158.17,-27.89,47.54
L161,-160.65,-28.33,42.86
L168,-162.63,-28.68,38.04
L175,-164.12,-28.94,33.11
L182,-165.10,-29.11,28.07
L189,-165.59,-29.20,22.95
L196,-165.56,-29.19,17.76
L203,-165.03,-29.10,12.52
L210,-163.97,-28.91,7.24
L217,-162.39,-28.63,1.93
L224,-160.27,-28.26,-3.38
L231,-157.59,-27.79,-8.69
L238,-154.34,-27.21,-13.96
L245,-150.50,-26.54,-19.17
L252,-146.04,-25.75,-24.31
L259,-140.94,-24.85,-29.34
L266,-135.17,-23.83,-34.23
L273,-128.68,-22.69,-38.94
L280,-121.43,-21.41,-43.41
L287,-113.37,-19.99,-47.60
L294,-104.44,-18.42,-51.42
L301,-94.55,-16.67,-54.76
L308,-83.61,-14.74,-57.50
L315,-71.52,-12.61,-59.43
L322,-58.13,-10.25,-60.28
L329,-43.30,-7.63,-59.60
L336,-26.88,-4.74,-56.70
L343,-8.91,-1.57,-50.31
L350,9.86,1.74,-38.17
L357,25.56,4.51,-17.03
a=100 e=0.70 i=90 Ω=20 ϖ=0
L0,26.49,9.64,-10.26
L7,28.64,10.43,17.46
L14,20.91,7.61,40.27
L21,9.61,3.50,57.02
L28,-2.56,-0.93,69.34
L35,-14.65,-5.33,78.52
L42,-26.33,-9.58,85.40
L49,-37.48,-13.64,90.50
L56,-48.05,-17.49,94.21
L63,-58.04,-21.12,96.76
L70,-67.46,-24.55,98.36
L77,-76.32,-27.78,99.14
L84,-84.64,-30.81,99.21
L91,-92.43,-33.64,98.67
L98,-99.71,-36.29,97.59
L105,-106.50,-38.76,96.01
L112,-112.80,-41.06,94.00
L119,-118.63,-43.18,91.59
L126,-123.99,-45.13,88.82
L133,-128.89,-46.91,85.72
L140,-133.33,-48.53,82.32
L147,-137.33,-49.98,78.64
L154,-140.87,-51.27,74.71
L161,-143.97,-52.40,70.53
L168,-146.62,-53.36,66.14
L175,-148.82,-54.17,61.54
L182,-150.57,-54.80,56.76
L189,-151.85,-55.27,51.80
L196,-152.68,-55.57,46.69
L203,-153.03,-55.70,41.43
L210,-152.91,-55.65,36.04
L217,-152.28,-55.43,30.53
L224,-151.16,-55.02,24.93
L231,-149.50,-54.42,19.23
L238,-147.31,-53.62,13.47
L245,-144.55,-52.61,7.66
L252,-141.20,-51.39,1.81
L259,-137.23,-49.95,-4.04
L266,-132.60,-48.26,-9.87
L273,-127.27,-46.32,-15.66
L280,-121.19,-44.11,-21.34
L287,-114.30,-41.60,-26.89
L294,-106.53,-38.77,-32.22
L301,-97.78,-35.59,-37.26
L308,-87.95,-32.01,-41.88
L315,-76.90,-27.99,-45.92
L322,-64.46,-23.46,-49.11
L329,-50.41,-18.35,-51.06
L336,-34.51,-12.56,-51.10
L343,-16.58,-6.03,-47.98
L350,3.03,1.10,-39.33
L357,21.24,7.73,-21.27
a=100 e=0.70 i=90 Ω=30 ϖ=0
L0,22.50,12.99,-15.00
L7,28.62,16.53,11.90
L14,25.03,14.45,35.79
L21,17.29,9.98,54.37
L28,8.11,4.68,68.76
L35,-1.49,-0.86,80.03
L42,-11.06,-6.38,88.97
L49,-20.41,-11.78,96.05
L56,-29.44,-17.00,101.65
L63,-38.13,-22.01,106.02
L70,-46.43,-26.81,109.33
L77,-54.36,-31.38,111.73
L84,-61.90,-35.74,113.35
L91,-69.05,-39.87,114.25
L98,-75.83,-43.78,114.53
L105,-82.22,-47.47,114.23
L112,-88.24,-50.95,113.42
L119,-93.89,-54.21,112.12
L126,-99.17,-57.26,110.39
L133,-104.09,-60.09,108.24
L140,-108.63,-62.72,105.71
L147,-112.81,-65.13,102.83
L154,-116.62,-67.33,99.60
L161,-120.06,-69.32,96.07
L168,-123.13,-71.09,92.23
L175,-125.81,-72.64,88.11
L182,-128.12,-73.97,83.72
L189,-130.03,-75.08,79.08
L196,-131.55,-75.95,74.19
L203,-132.66,-76.59,69.08
L210,-133.36,-76.99,63.75
L217,-133.62,-77.15,58.21
L224,-133.44,-77.04,52.48
L231,-132.80,-76.67,46.57
L238,-131.67,-76.02,40.49
L245,-130.04,-75.08,34.25
L252,-127.88,-73.83,27.88
