# a=100
# e=0.70
# i=90
# Ω=0,10, ... 80, 90
# ϖ=0

a=100 e=0.70 i=90 Ω=0 ϖ=0
L0,30.00,0.00,0.00
L7,22.67,0.00,26.83
L14,7.14,0.00,45.45
L21,-9.89,0.00,57.07
L28,-26.27,0.00,64.22
L35,-41.51,0.00,68.45
L42,-55.54,0.00,70.66
L49,-68.43,0.00,71.41
L56,-80.27,0.00,71.04
L63,-91.13,0.00,69.80
L70,-101.10,0.00,67.87
L77,-110.22,0.00,65.38
L84,-118.57,0.00,62.42
L91,-126.18,0.00,59.08
L98,-133.09,0.00,55.41
L105,-139.34,0.00,51.46
L112,-144.95,0.00,47.27
L119,-149.95,0.00,42.89
L126,-154.37,0.00,38.34
L133,-158.21,0.00,33.64
L140,-161.49,0.00,28.83
L147,-164.22,0.00,23.92
L154,-166.42,0.00,18.93
L161,-168.09,0.00,13.88
L168,-169.24,0.00,8.79
L175,-169.87,0.00,3.66
L182,-169.98,-0.00,-1.47
L189,-169.57,-0.00,-6.59
L196,-168.65,-0.00,-11.70
L203,-167.20,-0.00,-16.77
L210,-165.23,-0.00,-21.79
L217,-162.73,-0.00,-26.74
L224,-159.68,-0.00,-31.59
L231,-156.08,-0.00,-36.34
L238,-151.92,-0.00,-40.96
L245,-147.17,-0.00,-45.42
L252,-141.82,-0.00,-49.69
L259,-135.85,-0.00,-53.75
L266,-129.22,-0.00,-57.54
L273,-121.92,-0.00,-61.03
L280,-113.89,-0.00,-64.17
L287,-105.11,-0.00,-66.87
L294,-95.51,-0.00,-69.05
L301,-85.04,-0.00,-70.60
L308,-73.63,-0.00,-71.37
L315,-61.20,-0.00,-71.14
L322,-47.66,-0.00,-69.61
L329,-32.95,-0.00,-66.33
L336,-17.04,-0.00,-60.58
L343,-0.17,-0.00,-51.12
L350,16.48,-0.00,-35.85
L357,28.52,-0.00,-12.26
a=100 e=0.70 i=90 Ω=20 ϖ=0
L0,26.49,9.64,-10.26
L7,28.64,10.43,17.46
L14,20.91,7.61,40.27
L21,9.61,3.50,57.02
L28,-2.56,-0.93,69.34
L35,-14.65,-5.33,78.52
L42,-26.33,-9.58,85.40
L49,-37.48,-13.64,90.50
L56,-48.05,-17.49,94.21
L63,-58.04,-21.12,96.76
L70,-67.46,-24.55,98.36
L77,-76.32,-27.78,99.14
L84,-84.64,-30.81,99.21
L91,-92.43,-33.64,98.67
L98,-99.71,-36.29,97.59
L105,-106.50,-38.76,96.01
L112,-112.80,-41.06,94.00
L119,-118.63,-43.18,91.59
L126,-123.99,-45.13,88.82
L133,-128.89,-46.91,85.72
L140,-133.33,-48.53,82.32
L147,-137.33,-49.98,78.64
L154,-140.87,-51.27,74.71
L161,-143.97,-52.40,70.53
L168,-146.62,-53.36,66.14
L175,-148.82,-54.17,61.54
L182,-150.57,-54.80,56.76
L189,-151.85,-55.27,51.80
L196,-152.68,-55.57,46.69
L203,-153.03,-55.70,41.43
L210,-152.91,-55.65,36.04
L217,-152.28,-55.43,30.53
L224,-151.16,-55.02,24.93
L231,-149.50,-54.42,19.23
L238,-147.31,-53.62,13.47
L245,-144.55,-52.61,7.66
L252,-141.20,-51.39,1.81
L259,-137.23,-49.95,-4.04
L266,-132.60,-48.26,-9.87
L273,-127.27,-46.32,-15.66
L280,-121.19,-44.11,-21.34
L287,-114.30,-41.60,-26.89
L294,-106.53,-38.77,-32.22
L301,-97.78,-35.59,-37.26
L308,-87.95,-32.01,-41.88
L315,-76.90,-27.99,-45.92
L322,-64.46,-23.46,-49.11
L329,-50.41,-18.35,-51.06
L336,-34.51,-12.56,-51.10
L343,-16.58,-6.03,-47.98
L350,3.03,1.10,-39.33
L357,21.24,7.73,-21.27
a=100 e=0.70 i=90 Ω=40 ϖ=0
L0,17.60,14.77,-19.28
L7,26.52,22.25,5.98
L14,26.57,22.29,30.23
L21,22.30,18.71,50.08
L28,16.21,13.60,66.09
L35,9.35,7.85,79.12
L42,2.20,1.85,89.83
L49,-5.00,-4.19,98.69
L56,-12.13,-10.17,106.01
L63,-19.11,-16.03,112.05
L70,-25.91,-21.74,116.98
L77,-32.49,-27.26,120.94
L84,-38.84,-32.59,124.04
L91,-44.95,-37.72,126.36
L98,-50.82,-42.64,127.99
L105,-56.43,-47.35,128.98
L112,-61.78,-51.84,129.39
L119,-66.88,-56.12,129.25
L126,-71.71,-60.17,128.59
L133,-76.27,-64.00,127.47
L140,-80.57,-67.61,125.89
L147,-84.59,-70.98,123.88
L154,-88.34,-74.13,121.47
L161,-91.81,-77.04,118.68
L168,-94.99,-79.70,115.51
L175,-97.88,-82.13,112.00
L182,-100.47,-84.30,108.14
L189,-102.76,-86.22,103.95
L196,-104.73,-87.88,99.44
L203,-106.38,-89.26,94.63
L210,-107.69,-90.36,89.52
L217,-108.66,-91.17,84.12
L224,-109.26,-91.68,78.44
L231,-109.49,-91.87,72.49
L238,-109.32,-91.73,66.27
L245,-108.73,-91.23,59.81
L252,-107.69,-90.36,53.09
L259,-106.18,-89.10,46.15
L266,-104.17,-87.41,38.98
L273,-101.60,-85.25,31.61
L280,-98.43,-82.59,24.06
L287,-94.61,-79.38,16.34
L294,-90.05,-75.56,8.50
L301,-84.67,-71.05,0.58
L308,-78.35,-65.74,-7.34
L315,-70.94,-59.53,-15.16
L322,-62.25,-52.23,-22.69
L329,-52.00,-43.63,-29.63
L336,-39.83,-33.42,-35.45
L343,-25.27,-21.20,-39.05
L350,-7.98,-6.70,-38.06
L357,10.70,8.98,-27.72
a=100 e=0.70 i=90 Ω=60 ϖ=0
L0,7.50,12.99,-25.98
L7,17.29,29.94,-6.22
L14,21.46,37.18,16.54
L21,22.24,38.52,37.10
L28,21.24,36.79,54.86
L35,19.26,33.37,70.17
L42,16.71,28.95,83.43
L49,13.81,23.92,94.97
L56,10.69,18.52,105.03
L63,7.44,12.89,113.82
L70,4.12,7.13,121.49
L77,0.75,1.31,128.15
L84,-2.61,-4.52,133.90
L91,-5.96,-10.33,138.81
L98,-9.28,-16.07,142.96
L105,-12.55,-21.74,146.40
L112,-15.77,-27.31,149.17
L119,-18.92,-32.76,151.31
L126,-21.99,-38.09,152.86
L133,-24.98,-43.27,153.83
L140,-27.89,-48.30,154.27
L147,-30.70,-53.17,154.18
L154,-33.41,-57.87,153.59
L161,-36.01,-62.38,152.51
L168,-38.51,-66.69,150.96
L175,-40.88,-70.81,148.94
L182,-43.13,-74.70,146.47
L189,-45.25,-78.37,143.56
L196,-47.23,-81.80,140.20
L203,-49.06,-84.98,136.42
L210,-50.74,-87.89,132.20
L217,-52.26,-90.51,127.56
L224,-53.60,-92.84,122.49
L231,-54.76,-94.84,117.00
L238,-55.71,-96.50,111.08
L245,-56.46,-97.79,104.74
L252,-56.97,-98.68,97.97
L259,-57.23,-99.13,90.77
