---
a=100 e=0.70 i=45 Ω=359 ϖ=0
L0,30.00,-0.15,0.37
L7,29.05,6.61,7.12
L14,26.67,12.61,13.07
L21,22.97,18.30,18.70
L28,18.03,23.70,24.02
L35,11.89,28.78,28.98
L42,4.60,33.47,33.55
L49,-3.81,37.75,37.68
L56,-13.44,41.61,41.37
L63,-25.46,45.26,44.81
L70,-37.29,47.85,47.20
L77,-48.84,49.57,48.71
L84,-60.48,50.56,49.50
L91,-72.18,50.86,49.59
L98,-83.84,50.47,49.00
L105,-95.36,49.38,47.71
L112,-106.68,47.59,45.72
L119,-117.92,45.01,42.95
L126,-129.81,41.24,38.97
L133,-139.33,37.23,34.79
L140,-147.41,32.86,30.28
L147,-154.30,28.10,25.40
L154,-160.00,22.98,20.18
L161,-164.48,17.54,14.67
L168,-167.67,11.84,8.91
L175,-169.53,5.88,2.92
L182,-169.94,-0.54,-3.50
L189,-168.51,-7.59,-10.53
L196,-165.68,-13.64,-16.53
L203,-161.57,-19.29,-22.10
L210,-156.23,-24.60,-27.33
L217,-149.73,-29.56,-32.17
L224,-142.12,-34.11,-36.59
L231,-133.46,-38.23,-40.55
L238,-123.70,-41.87,-44.02
L245,-112.08,-45.16,-47.11
L252,-99.41,-47.70,-49.43
L259,-87.63,-49.23,-50.75
L266,-75.89,-50.01,-51.33
L273,-64.17,-50.10,-51.21
L280,-52.55,-49.49,-50.40
L287,-41.14,-48.20,-48.91
L294,-30.02,-46.21,-46.73
L301,-19.18,-43.49,-43.82
L308,-7.78,-39.61,-39.74
L315,1.82,-35.28,-35.24
L322,9.65,-30.73,-30.56
L329,16.21,-25.83,-25.54
L336,21.54,-20.60,-20.22
L343,25.62,-15.09,-14.64
L350,28.39,-9.34,-8.85
L357,29.81,-3.39,-2.87
a=100 e=0.70 i=45 Ω=359 ϖ=0
L0,30.00,-0.15,0.37
L7,29.05,6.61,7.12
L14,26.67,12.61,13.07
L21,22.97,18.30,18.70
L28,18.03,23.70,24.02
L35,11.89,28.78,28.98
L42,4.60,33.47,33.55
L49,-3.81,37.75,37.68
L56,-13.44,41.61,41.37
L63,-25.46,45.26,44.81
L70,-37.29,47.85,47.20
L77,-48.84,49.57,48.71
L84,-60.48,50.56,49.50
L91,-72.18,50.86,49.59
L98,-83.84,50.47,49.00
L105,-95.36,49.38,47.71
L112,-106.68,47.59,45.72
L119,-117.92,45.01,42.95
L126,-129.81,41.24,38.97
L133,-139.33,37.23,34.79
L140,-147.41,32.86,30.28
L147,-154.30,28.10,25.40
L154,-160.00,22.98,20.18
L161,-164.48,17.54,14.67
L168,-167.67,11.84,8.91
L175,-169.53,5.88,2.92
L182,-169.94,-0.54,-3.50
L189,-168.51,-7.59,-10.53
L196,-165.68,-13.64,-16.53
L203,-161.57,-19.29,-22.10
L210,-156.23,-24.60,-27.33
L217,-149.73,-29.56,-32.17
L224,-142.12,-34.11,-36.59
L231,-133.46,-38.23,-40.55
L238,-123.70,-41.87,-44.02
L245,-112.08,-45.16,-47.11
L252,-99.41,-47.70,-49.43
L259,-87.63,-49.23,-50.75
L266,-75.89,-50.01,-51.33
L273,-64.17,-50.10,-51.21
L280,-52.55,-49.49,-50.40
L287,-41.14,-48.20,-48.91
L294,-30.02,-46.21,-46.73
L301,-19.18,-43.49,-43.82
L308,-7.78,-39.61,-39.74
L315,1.82,-35.28,-35.24
L322,9.65,-30.73,-30.56
L329,16.21,-25.83,-25.54
L336,21.54,-20.60,-20.22
L343,25.62,-15.09,-14.64
L350,28.39,-9.34,-8.85
L357,29.81,-3.39,-2.87
a=100 e=0.70 i=45 Ω=359 ϖ=0
L0,30.00,-0.15,0.37
L7,29.05,6.61,7.12
L14,26.67,12.61,13.07
L21,22.97,18.30,18.70
L28,18.03,23.70,24.02
L35,11.89,28.78,28.98
L42,4.60,33.47,33.55
L49,-3.81,37.75,37.68
L56,-13.44,41.61,41.37
L63,-25.46,45.26,44.81
L70,-37.29,47.85,47.20
L77,-48.84,49.57,48.71
L84,-60.48,50.56,49.50
L91,-72.18,50.86,49.59
L98,-83.84,50.47,49.00
L105,-95.36,49.38,47.71
L112,-106.68,47.59,45.72
L119,-117.92,45.01,42.95
L126,-129.81,41.24,38.97
L133,-139.33,37.23,34.79
L140,-147.41,32.86,30.28
L147,-154.30,28.10,25.40
L154,-160.00,22.98,20.18
L161,-164.48,17.54,14.67
L168,-167.67,11.84,8.91
L175,-169.53,5.88,2.92
L182,-169.94,-0.54,-3.50
L189,-168.51,-7.59,-10.53
L196,-165.68,-13.64,-16.53
L203,-161.57,-19.29,-22.10
L210,-156.23,-24.60,-27.33
L217,-149.73,-29.56,-32.17
L224,-142.12,-34.11,-36.59
L231,-133.46,-38.23,-40.55
L238,-123.70,-41.87,-44.02
L245,-112.08,-45.16,-47.11
L252,-99.41,-47.70,-49.43
L259,-87.63,-49.23,-50.75
L266,-75.89,-50.01,-51.33
L273,-64.17,-50.10,-51.21
L280,-52.55,-49.49,-50.40
L287,-41.14,-48.20,-48.91
L294,-30.02,-46.21,-46.73
L301,-19.18,-43.49,-43.82
L308,-7.78,-39.61,-39.74
L315,1.82,-35.28,-35.24
L322,9.65,-30.73,-30.56
L329,16.21,-25.83,-25.54
L336,21.54,-20.60,-20.22
L343,25.62,-15.09,-14.64
L350,28.39,-9.34,-8.85
L357,29.81,-3.39,-2.87
